No,Contents
2570,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2577,"RT @GAlessandra_: En Harvard University ¿si sabrán que tienen como profesor a un chimbo Nobel, que además es el malvado que puso a Lorent Saleh en las criminales garras de la dictadura venezolana y que es un mentiroso compulsivo? Qué tal la changüita."
2579,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2582,"QT @Jeskaze: Ojo @FiscaliaCol con este personaje. El adoctrinamiento de @fecode tiene a jóvenes decididos a generar el caos y acabar con la democracia. ; A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2583,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2584,@AlcaldiaBGA @CaracolBga @BluBucaramanga @AreaMetroBga @ingrodolfohdez @ADN_Bucaramanga @OpinaSantander @lafm @elespectador @figuerjoda @CCBucaramanga es mas facil acabar las putas venecas que estas insornias. de vendedores.
2587,"@marianodealba @IvanDuque sus ministros y su coalition de gobierno: los venezolanos van a aumentar la inseguridad, las enfermedades y de hecho los niños que nascan en Colombia de mama y papa venezolano no recibiran la nacionalidad Colombiana seran reconocidos por Colombia como "" apatriados""."
2589,@ElJodario Para las putas siempre hay plata. Los venezolanos necesitados lo saben y su falta de experiencia los hace tomar decisiones que pueden perjudicar su salud y la de los demás.
2590,RT @TAMARA_SUJU: Asi actua la Dictadura cubana q para pagar agitadores si tiene $ lo + seguro del dinero d todos los venezolanos.Vulgares y cínicos aparte d criminales Diplomáticos cubanos intentaron boicotear sesión en la ONU sobre presos políticos en la isla - Infobae https://t.co/OptNOZNSUW
2593,RT @TAMARA_SUJU: Asi actua la Dictadura cubana q para pagar agitadores si tiene $ lo + seguro del dinero d todos los venezolanos.Vulgares y cínicos aparte d criminales Diplomáticos cubanos intentaron boicotear sesión en la ONU sobre presos políticos en la isla - Infobae https://t.co/OptNOZNSUW
2600,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2602,"RT @milufa: @AlbertoBernalLe @miguelalereload @JuanManSantos Q respeto merece la persona q mintió, traicionó, d manera descarada a 1 nacion? Vendió Isagen, desconoció la voluntad del pueblo:Colombia dijo NO. Dio curules a criminales d lesa humanidad, pedófilos. Apoyó dictadura venezolana y entrego a un joven q está en prisión y torturado."
2608,"RT @TemplarioResisT: #5Oct Todavía hay Venezolanos que reprochan la intervención Militar en Venezuela. Te recuerdo el país está liderado por Narcotraficantes, Criminales y Terroristas. Esto es en la Cárcel Penal Tocorón. Discoteca TOKIO, evento #25Oct !! PATROCINADO POR LA NARCO DICTADURA ¡¡ #TeamHDP https://t.co/By6swPhIJ1"
2611,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2615,"@AnayCorreab Veneco es un termino despectivo, como te dije antes pido disculpas a los venezolanos honestos, pero los Venecos malandros nos causan mucho daño, ya con la delincuencia y falta de respeto a la vida de los bandidos de acá tenemos más q suficiente"
2618,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2619,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2621,RT @EdoCote: Pregunto: Hay un plan orquestado por @NicolasMaduro para expulsar cinco (5) millones de Venezolanos porque no tienen como mantenerlos en estas navidades? ¿Premeditadamente nos van a invadir en Noviembre-Diciembre? @CeDemocratico @IvanDuque @AlvaroUribeVel @ernestomaciast
2625,"RT @miguelalereload: Psss Oiste: Entonces la solución en Venezuela e indirectamente en Colombia, con esta migración de venezolanos: ¿Es volver a montar chavistas, pero un poquito menos brutos y ladrones que los actuales? !Chavistas originales que llaman! Virgen del Carmen!!!!!!😳😳😳😳😳 https://t.co/GACEq7Oj6c"
2626,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2630,"QT @liliantintori: RT @Diego1404: Supongo que se dan cuenta de la enorme burla de la narcobolirata @liliantintori Nada raro en la que usaba a los hijos para d… ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2633,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2634,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2635,"QT @ernestomaciast: Pero sí para llevar comitiva al Vaticano a tomarse fotos con @Pontifex_es. Sea serio, Macías. ; Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar."
2636,"RT @liliantintori: Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2638,Unos venezolanos en una cuadra haciendo sopa. ¿que putas les pasa?
2639,"QT @LaHojillaenTV: Lloren gringos hijueputas!!! lloren. Lloren uribestias de la mierda!!! ; No te pierdas las manifestaciones de Vladimir Putin, en relación con la injerencia y acoso a la que someten a nuestra patria venezolana. #ConChavezNosotrosVenceremos #VenezuelaProduce https://t.co/cu4ULEbf7E"
2641,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2647,RT @humbertotweets: ATENCIÓN Corren peligro de ser arrollados Venezolanos caminantes por carreteras de Sur America... https://t.co/KuaGNpBQbY
2649,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2653,"RT @liliantintori: Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2655,"@NoticiasCaracol #BuscandoFuturo Sí. Sé han incrementado la inseguridad en todo el país hay un gran porcentaje en la fiscalía de venezolanos detenidos eso es lo que trae la inmigración más inseguridad, desempleo, enfermedades."
2656,"RT @Estefayepesc: Los colombianos siendo xenofóbos con los venezolanos cuando hace una década la mayoría se fue de este pantanal hacia Venezuela a conseguir una mejor vida, bobos hijueputas"
2658,Ustedes recibirían basura tóxica en su país? Entonces porque recibir inmigrantes enfermos prostitutas mendigos es decir lo peor de ka sociedad venezolana? @CeDemocratico @PalomaValenciaL @IvanDuque @ernestomaciast @MariaFdaCabal @JOSEOBDULIO @HassNassar @IvanDuque
2662,"@elpaiscali No les den plata a esos hijueputas venezolanos que solo vienen a robar, ignorelos, mírelos con desprecio y asco, no les compre ni mierda y si puede escúpalos o saquelos a pata."
2665,Flaca venezolana solo para complacerte las 24 horas. #putas #NorteDeSantander | https://t.co/2TS2pLiC5o https://t.co/ffXzDhIBSJ
2666,@Diego_Arria Aquí la solución es el pueblo Venezolano vaya por las cabezas de los criminales de Miraflores.
2668,"RT @Falconoticias_: @MariaCorinaYA Hermano venezolano soy reportero, en una rueda de prensa el ministro de Justicia de Bikker acaba de prohibir que se le den carta de invitación a cada venezolano que venga Aruba. y está prohibido qué persona de Aruba empleen cómo domésticas a venezolanas"
2672,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2678,"QT @liliantintori: Buenas, para informarles que la UNITEC hizo esta ridiculez en 2014 y tampoco sirvió ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2679,"QT @liliantintori: RT @rufian: Imagínate a Leopoldo todo el día encerrado en esa casa oyendo los planes estupidos de esta mujer. Debe estar rezando para que l… ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2680,"RT @MichaelDonatto: Me robaron dos venecos antiayer, casi me hacen daño, por un lado debo decir que me alegra haber salido ileso del atraco y por otro lado VENECOS TRIPLEHIJUEPUTAS, LOS ODIO, YA ESTOY MAMADO HASTA DE ESCUCHAR ""CHAMO REGALAME UNA MONEDA"" EN CADA ESQUINA"
2681,"Hacía un buen tiempo que no usaba @TransMilenio. Nueva decepción. Trayecto C 63 a Portal Norte, vendedores colombianos y venezolanos en cada estación hasta El Virrey, entradas a los vagones con ventas de pasajes a $ 2 mil; puertas automáticas dañadas y sensación de inseguridad."
2682,"Los Medios Informativos generalizan mucho cuando un ciudadano extranjero comete algún delito, pero la realidad es otra, son mas los buenos que los malos, conoces a un Venezolano y te dice… https://t.co/ckz6equhJJ"
2684,RT @TAMARA_SUJU: Asi actua la Dictadura cubana q para pagar agitadores si tiene $ lo + seguro del dinero d todos los venezolanos.Vulgares y cínicos aparte d criminales Diplomáticos cubanos intentaron boicotear sesión en la ONU sobre presos políticos en la isla - Infobae https://t.co/OptNOZNSUW
2685,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2689,"QT @miguelalereload: Jajaja jajaja 😅 se dan la HIJUEmadre garra. ; Psss Oiste: Entonces la solución en Venezuela e indirectamente en Colombia, con esta migración de venezolanos: ¿Es volver a montar chavistas, pero un poquito menos brutos y ladrones que los actuales? !Chavistas originales que llaman! Virgen del Carmen!!!!!!😳😳😳😳😳 https://t.co/GACEq7Oj6c"
2690,"QT @EEColombia2020: RT @Natal1aH: “Si vos querés ayudar a las venezolanas que están pasando hambre y migrando, dales trabajo; no les metas la pija en la boca,… ; #Entrevista “Las putas no nacen de un repollo, nacen de la pobreza”: Alika Kinan. https://t.co/ooTE4sLZYL https://t.co/6ZPfIAE0v4"
2693,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2694,"#CityNoticiasFDS Banda de ladrones venezolanos tiene atemorizados a los usuarios y conductores del #Sitp de los barrios Meissen, Lucero y México, en Ciudad Bolívar. En el caso más reciente, 15 personas fueron despojadas de sus pertenencias."
2695,"Nuestro presidente @IvanDuque tiene el deber moral de impedir que los miembros de la mafia roja venezolana vengan a Colombia a refugiarse, causaron daño a jóvenes venezolanos y a sus familias. Quien presuntamente ordenó torturas a jóvenes venezolanos representa un peligro aquí. https://t.co/UtUEck5AWO"
2698,"RT @Andreit01725426: @NestorViguerasM @VickyDavilaH Ud no vive en Bucaramanga? Una cosa es lo que dicen x fuera y los premios que dan, pero acá estamos llenos de inseguridad, desempleo, venezolanos, desgobierno, las empresas se están yendo para Bogotá. X Dios la ciudad no está estancada y va es de para atrás."
2702,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2704,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2708,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2709,QT @kenwoorth2001: La xenofobia es real 🤦‍♀️uno pa que putas pelea con esto? ; Siiii tiene que ver son una plaga esos hijos de puta ‘ o usted es venezolana ??? Porque los defiende van acabar con colombia como acabaron con Venezuela por vagos mantenidos y perezosos !!! Hummm https://t.co/3hPJIFrDHA
2710,"QT @liliantintori: Jejejejeje jejejejeje ay no Dios mio ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2713,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2714,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2715,"RT @parrillimarcelo: Extranjeros/Expulsiones: cambió la orientación política, hoy muchos políticos y ciudadanos quieren deportar a venezolanos, paraguayos, turcos, etc. ¿Dónde quedó aquel país amplio y generoso que dio cobijo y protección a Eichmann, Mengele, Priebke y tantos otros criminales...?"
2718,"Yo digo si hay 6 millones de Colombianos en Venezuela por que no se han regresado? Lo venezolanos que emigran al país son los Marielitos cubanos a USA puras ratas, putas, maricas y ladrones. Nos llegaron marielitos venecos por millares."
2720,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2721,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2730,"RT @asantosrubino: Van dos millones de venezolanos en Colombia y se llegaría a cuatro. Canciller dice que costará 26 billones. Es hoy el gran desafío del país. Crece xenofobia, inseguridad, enfermedades, informalidad. Niños desnutridos. Urge estrategia integral de todo el Estado."
2737,"Con tristeza muchos hogares y empresas colombianas son víctimas de la delincuencia de Venezolanos, después de haber sido ayudados económicamente y con trabajo."
2738,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2745,"RT @liliantintori: Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2746,"@NoticiasRCN Lo que no entiende este paraíso de corruptos al igual medios de comunicación,es que este sátrapa trae Venezolanos a diestra y siniestra para legalizarlos de acuerdo con maburro y puedan votar para elegirlo. Vándalos,prostitución,invasión,inseguridad,aporte hermano país👎🏿👎🏿 no más"
2747,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2749,"@NestorViguerasM @VickyDavilaH Ud no vive en Bucaramanga? Una cosa es lo que dicen x fuera y los premios que dan, pero acá estamos llenos de inseguridad, desempleo, venezolanos, desgobierno, las empresas se están yendo para Bogotá. X Dios la ciudad no está estancada y va es de para atrás."
2756,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2758,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2759,"RT @VeronciaSalazar: Yo se que puede ser difícil entender lo siguiente pero no todos los venezolanos son Ladrones ni todos los Ladrones son venezolanos, tengan cuidado con lo que andan diciendo en la calle porque nunca saben a quien pueden estar lastimando con sus palabras, gracias :D"
2763,"RT @dannyramirez7: #Venezuela quiénes se opongan a una acción militar internacional humanitaria para salvar a millones de hermanos venezolanos y someter a los narcotraficantes,asesinos y genocidas de la banda criminal que gobierna a la justicia,son unos perversos miserables cómplices de criminales!"
2765,"RT @EmisorasABC: #YoEscuchoEmisorasABC En el barrio los Andes de Barranquilla, @PoliciaBquilla capturaron a hombre de 29 años por el delito de trata de persona. En el allanamiento se encontraron 30 personas de nacionalidad venezolana dos de ellas menores de edad. https://t.co/sp0M5oPXvD"
2773,"RT @asantosrubino: Van dos millones de venezolanos en Colombia y se llegaría a cuatro. Canciller dice que costará 26 billones. Es hoy el gran desafío del país. Crece xenofobia, inseguridad, enfermedades, informalidad. Niños desnutridos. Urge estrategia integral de todo el Estado."
2776,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2780,"@gilbercaro Es tu peo si perdonas, pero exigimos la mayoría que así como perdonaste TU, salgas TU a pedir JUSTICIA sobre los violadores de DDHH de los Venezolanos ¿tienes güevos? Dale pues."
2785,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2786,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2788,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2790,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2793,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2795,RT @TAMARA_SUJU: Asi actua la Dictadura cubana q para pagar agitadores si tiene $ lo + seguro del dinero d todos los venezolanos.Vulgares y cínicos aparte d criminales Diplomáticos cubanos intentaron boicotear sesión en la ONU sobre presos políticos en la isla - Infobae https://t.co/OptNOZNSUW
2796,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2798,"La situación con los venezolanos, está fuera de control. Que están esperando que @NicolasMaduro muera de viejo como Fidel Castro Señor Presidente @IvanDuque la inseguridad de nuestro país va de Guatemala para GUATEPIOR."
2800,"RT @TemplarioResisT: #5Oct Todavía hay Venezolanos que reprochan la intervención Militar en Venezuela. Te recuerdo el país está liderado por Narcotraficantes, Criminales y Terroristas. Esto es en la Cárcel Penal Tocorón. Discoteca TOKIO, evento #25Oct !! PATROCINADO POR LA NARCO DICTADURA ¡¡ #TeamHDP https://t.co/By6swPhIJ1"
2804,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2805,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2807,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2809,"@ivanmarulanda @PartidoVerdeCoL Me gustaria saber soy Colombiana, desde que llegaron los Venezolanos hay mas peligro ayer hubo disparos de unos Venezolanos digame que Colombianos estamos en peligro"
2811,"QT @liliantintori: RT @lancelotliberte: Coño! Te hubieras tirado al piso pero desde un piso 10, habria sido mas efectivo el resultado de tu protesta, nos habr… ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2820,"RT @Falconoticias_: @MariaCorinaYA Hermano venezolano soy reportero, en una rueda de prensa el ministro de Justicia de Bikker acaba de prohibir que se le den carta de invitación a cada venezolano que venga Aruba. y está prohibido qué persona de Aruba empleen cómo domésticas a venezolanas"
2824,"RT @MapuSalazar: Al salir del país, los colombianos hemos sido señalados por años de ser “ narcotraficantes y prostitutas “ no entiendo por qué hoy nos referimos a los venezolanos como ladrones y a las mujeres como prostitutas."
2825,"QT @NoticiasCaracol: Y después dicen que yo soy el xenófobo, esta muy claro, HAY MUCHOS VENEZOLANOS que vinieron a delinquir en Colombia, es hora de cerrar la frontera a esos venecos ratas y pedir VISA a los venezolanos. ; #PrimeraEdición La Policía advierte que la cifra de ciudadanos venezolanos que delinquen está disparada. #NoticiasCaracol habló con los migrantes del vecino país sobre este fenómeno https://t.co/6i7ID6SOYA https://t.co/ZelhLXX5z4"
2826,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2828,RT @DrWilfredoBello: ¿Su delito? Apostar a la reciprocidad. Pensó que podía contar con el apoyo de una Isla que durante muchos años se mantuvo gracias al turismo Venezolano. https://t.co/sKeHY7XJsb
2829,"RT @Citytv: #CityNoticiasFDS Banda de ladrones venezolanos tiene atemorizados a los usuarios y conductores del #Sitp de los barrios Meissen, Lucero y México, en Ciudad Bolívar. En el caso más reciente, 15 personas fueron despojadas de sus pertenencias."
2833,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2838,"RT @_La_Neira: Disculpen pero que odio le estoy cogiendo a los venezolanos por culpa de los ladrones, gamines y patanes que están en el Bogotá 😠"
2842,"@humbertotweets EsaRata quiere acabar con Venezuela,y las ratas que siguen le alcahuetan los venezolanos venezolano al Abvenediso.........."
2845,@petrogustavo ..se han dado cuenta que la tonada de la extrema izq para sus ratas se llama democracia?..pregunten a venezolanos que aprendieron a bailarla
2846,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2847,"RT @EmisorasABC: #YoEscuchoEmisorasABC En el barrio los Andes de Barranquilla, @PoliciaBquilla capturaron a hombre de 29 años por el delito de trata de persona. En el allanamiento se encontraron 30 personas de nacionalidad venezolana dos de ellas menores de edad. https://t.co/sp0M5oPXvD"
2848,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2849,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2851,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2856,"@alfo_felix @elpatrullero_ @PoliciaColombia Hoy a las 4 de la tarde hubo un atraco masivo a un articulado de transmilenio en la calle 146 por parte de ciudadanos Venezolanos, nos estan insultando si no le damos monedas, se burlan de nosotros y ahora nos estan robando, que mas esperamos????"
2862,RT @TAMARA_SUJU: Asi actua la Dictadura cubana q para pagar agitadores si tiene $ lo + seguro del dinero d todos los venezolanos.Vulgares y cínicos aparte d criminales Diplomáticos cubanos intentaron boicotear sesión en la ONU sobre presos políticos en la isla - Infobae https://t.co/OptNOZNSUW
2864,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2865,"@Yobusgo Lo que están haciendo estos hijueputas venezolanos es regase por el mundo entero y sobre todo en Colombia para que les den todo y terminar de cagarse este país,los venezolanos nunca an luchado ni pelado por nada poq lo han tenido todo y ahora son los parásitos del mundo"
2866,"RT @chanpo_llion: @NoticiasRCN @petrogustavo Lo que no entiende este paraíso de corruptos al igual medios de comunicación,es que este sátrapa trae Venezolanos a diestra y siniestra para legalizarlos de acuerdo con maburro y puedan votar para elegirlo. Vándalos,prostitución,invasión,inseguridad,aporte hermano país👎🏿👎🏿 no más"
2867,"RT @vallebeto: @felmarmoncada @Zabecitta61 @rojasfranco @PoliciaPeru @NaranjaRA @ReporteYa @CaraotaDigital @carlosramirezl3 La verdad tengo amigos Venezolanos y son gente muy buena y trabajadora , pero al igualue le caiga el guante que se lo ponga , lo que si hay que aceptar es que esta entrando mucho bandido Venezolano a ampliar mas la delincuencia que nos inunda en Colombia 🇨🇴"
